id,pubmid
Schilling Megan A,31792246
Tonui Triza,31792246
Cattadori Isabella M,31792246
Estes Anna B,31792246
Buza Teresia,31792246
Rentsch Dennis,31792246
Stomeo Francesca,31792246
Tiambo Christian,31792246
Radzio-Basu Jessica,31792246
Hudson Peter J,31792246
Kapur Vivek,31792246
Musimbi Zaneta D,31792230
Rono Martin K,31792230
Otieno James R,31792230
Kibinge Nelson,31792230
Ochola-Oyier Lynette Isabella,31792230
de Villiers Etienne Pierre,31792230
Nduati Eunice W,31792230
Tumlinson Katherine,31791358
Jaff Dilshad,31791358
Onyango Dickens Otieno,31791358
Leonard Kenneth L,31791358
Horth Roberta,31791273
Young Peter,31791273
Schaad Nicolas,31791273
Raymond Henry F,31791273
Pigott David M,31790408
Weaver Nicole Davis,31790408
Cromwell Elizabeth A,31790408
Noor Abdisalan M,31790408
Murray Christopher J L,31790408
Hay Simon I,31790408
Ikeda Daniel J,31788558
Jasmin Margareth,31788558
Inimah Maureen,31788558
Agins Bruce D,31788558
Oindi Felix Mwembi,31788320
Murage Alfred,31788320
Lema Valentino Manase,31788320
Mukaindo Abraham Mwaniki,31788320
Augustine David J,31788213
Kibet Staline,31788213
Nyangito Moses,31788213
Ojiewo Chris,31787790
Monyo Emmanuel,31787790
Ganga Rao Npvr,31787790
Akpo Essegbemon,31787790
Wanjala F O,31786611
Hashim N O,31786611
Otwoma D,31786611
Nyambura C,31786611
Kebwaro J,31786611
Bartilol J,31786611
Chege M,31786611
Ajayi Ai,31786595
Carter Jane Y,31786246
Fast Patricia E,31786175
Chinyenze Kundai,31786175
Kaslow David C,31786175
Mogire Reagan M,31786117
Mutua Agnes,31786117
Kimita Wandia,31786117
Kamau Alice,31786117
Bejon Philip,31786117
Adeyemo Adebowale,31786117
Williams Thomas N,31786117
Atkinson Sarah H,31786117
Tolosa Tigist A,31784860
Tamiru Amanuel,31784860
Midega Charles A O,31784860
Kelemu Segenet,31784860
Khan Zeyaur R,31784860
Odiere Maurice R,31783767
Gatakaa Hellen,31783753
Ombech Elizabeth,31783753
Omondi Rogers,31783753
Otiato James,31783753
Waringa Vincent,31783753
Okomo Gordon,31783753
Muga Richard,31783753
Ndiritu Moses,31783753
Gwer Samson,31783753
Wekesa Eliud,31783749
Harder Valerie S,31782966
Musau Abednego M,31782966
Musyimi Christine W,31782966
Ndetei David M,31782966
Mutiso Victoria N,31782966
Gichangi Peter,31782636
Njau Irene,31782636
Yonga Gerald,31781714
Ogola Elijah N,31781714
Owuor Sharon Auma,31781636
Mamati Edward George,31781636
Kasili Remmy Wekesa,31781636
Wekesa Sifuna Martin,31781619
Wambui Milka,31781619
Kang'ethe Nganga Joseph,31781619
Wainaina Kariuki Daniel,31781619
Kimani Francis Thuo,31781619
Muregi Francis Wamakima,31781619
Mugendi A G,31781391
Kubo M N,31781391
Nyamu D G,31781391
Mwaniki L M,31781391
Wahome S K,31781391
Haberer J E,31781391
Ndirangu Eunice,31780099
Squires Allison,31780099
Siambi Moses,31778086
Monyo Emmanuel S,31778086
Thitiri Johnstone,31775877
Mwalekwa Laura,31775877
Berkley James A,31775877
Bandsma Robert H J,31775877
Akech Samuel O,31775837
Mpoya Ayub,31775837
Ombaka James,31775581
Ajayi Anthony Idowu,31774842
Gboko Kossia D T,31774832
Traoré Sylvain G,31774832
Sanhoun Aimé R,31774832
Kirioua Jérôme,31774832
Kaindi Dasel W M,31774832
Nguetta Roland,31774832
Bonfoh Bassirou,31774832
Bett Bernard,31774823
Grace Delia,31774823
